ADA-USD,ADA-USD1,ADA-USD2,ADA-USD3,ADA-USD4,ADA-USD5,BTC-USD,BTC-USD1,BTC-USD2,BTC-USD3,BTC-USD4,BTC-USD5,ETH-USD,ETH-USD1,ETH-USD2,ETH-USD3,ETH-USD4,ETH-USD5,Unnamed: 0,_id,index
Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,NaN,60fdbae9b9153bc55f2a9be1,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Datetime,60fdbae9b9153bc55f2a9be2,1
1.4199475049972534,1.4199475049972534,1.4199475049972534,1.4199475049972534,1.4199475049972534,0.0,34577.17578125,34577.17578125,34577.17578125,34577.17578125,34577.17578125,0.0,2222.94091796875,2222.94091796875,2222.94091796875,2222.94091796875,2222.94091796875,0.0,2021-07-03 17:09:00+01:00,60fdbae9b9153bc55f2a9be3,2
1.420248031616211,1.420248031616211,1.420248031616211,1.420248031616211,1.420248031616211,0.0,34570.74609375,34570.74609375,34570.74609375,34570.74609375,34570.74609375,22710272.0,2222.237548828125,2222.237548828125,2222.237548828125,2222.237548828125,2222.237548828125,13187072.0,2021-07-03 17:10:00+01:00,60fdbae9b9153bc55f2a9be4,3
1.4175547361373901,1.4175547361373901,1.4175547361373901,1.4175547361373901,1.4175547361373901,0.0,34544.51953125,34544.51953125,34544.51953125,34544.51953125,34544.51953125,0.0,2219.296142578125,2219.296142578125,2219.296142578125,2219.296142578125,2219.296142578125,0.0,2021-07-03 17:11:00+01:00,60fdbae9b9153bc55f2a9be5,4
1.417108416557312,1.417108416557312,1.417108416557312,1.417108416557312,1.417108416557312,0.0,34535.0859375,34535.0859375,34535.0859375,34535.0859375,34535.0859375,0.0,2219.259765625,2219.259765625,2219.259765625,2219.259765625,2219.259765625,0.0,2021-07-03 17:12:00+01:00,60fdbae9b9153bc55f2a9be6,5
1.4166407585144043,1.4166407585144043,1.4166407585144043,1.4166407585144043,1.4166407585144043,233728.0,34528.9140625,34528.9140625,34528.9140625,34528.9140625,34528.9140625,0.0,2218.034423828125,2218.034423828125,2218.034423828125,2218.034423828125,2218.034423828125,0.0,2021-07-03 17:13:00+01:00,60fdbae9b9153bc55f2a9be7,6
1.4162814617156982,1.4162814617156982,1.4162814617156982,1.4162814617156982,1.4162814617156982,0.0,34526.4921875,34526.4921875,34526.4921875,34526.4921875,34526.4921875,0.0,2217.391845703125,2217.391845703125,2217.391845703125,2217.391845703125,2217.391845703125,0.0,2021-07-03 17:14:00+01:00,60fdbae9b9153bc55f2a9be8,7
1.4165507555007935,1.4165507555007935,1.4165507555007935,1.4165507555007935,1.4165507555007935,0.0,34535.75,34535.75,34535.75,34535.75,34535.75,485376.0,2218.037841796875,2218.037841796875,2218.037841796875,2218.037841796875,2218.037841796875,1296384.0,2021-07-03 17:15:00+01:00,60fdbae9b9153bc55f2a9be9,8
1.4165947437286377,1.4165947437286377,1.4165947437286377,1.4165947437286377,1.4165947437286377,197376.0,34534.4765625,34534.4765625,34534.4765625,34534.4765625,34534.4765625,0.0,2219.01708984375,2219.01708984375,2219.01708984375,2219.01708984375,2219.01708984375,0.0,2021-07-03 17:16:00+01:00,60fdbae9b9153bc55f2a9bea,9
1.4175053834915161,1.4175053834915161,1.4175053834915161,1.4175053834915161,1.4175053834915161,0.0,34543.3828125,34543.3828125,34543.3828125,34543.3828125,34543.3828125,0.0,2218.581787109375,2218.581787109375,2218.581787109375,2218.581787109375,2218.581787109375,0.0,2021-07-03 17:17:00+01:00,60fdbae9b9153bc55f2a9beb,10
1.4166356325149536,1.4166356325149536,1.4166356325149536,1.4166356325149536,1.4166356325149536,0.0,34546.61328125,34546.61328125,34546.61328125,34546.61328125,34546.61328125,583680.0,2219.08203125,2219.08203125,2219.08203125,2219.08203125,2219.08203125,122880.0,2021-07-03 17:18:00+01:00,60fdbae9b9153bc55f2a9bec,11
1.4168517589569092,1.4168517589569092,1.4168517589569092,1.4168517589569092,1.4168517589569092,0.0,34544.33984375,34544.33984375,34544.33984375,34544.33984375,34544.33984375,43796480.0,2219.524169921875,2219.524169921875,2219.524169921875,2219.524169921875,2219.524169921875,14925824.0,2021-07-03 17:19:00+01:00,60fdbae9b9153bc55f2a9bed,12
1.417173147201538,1.417173147201538,1.417173147201538,1.417173147201538,1.417173147201538,0.0,34547.30078125,34547.30078125,34547.30078125,34547.30078125,34547.30078125,0.0,2219.568603515625,2219.568603515625,2219.568603515625,2219.568603515625,2219.568603515625,0.0,2021-07-03 17:20:00+01:00,60fdbae9b9153bc55f2a9bee,13
1.418617606163025,1.418617606163025,1.418617606163025,1.418617606163025,1.418617606163025,505344.0,34563.27734375,34563.27734375,34563.27734375,34563.27734375,34563.27734375,3551232.0,2221.205078125,2221.205078125,2221.205078125,2221.205078125,2221.205078125,3702784.0,2021-07-03 17:21:00+01:00,60fdbae9b9153bc55f2a9bef,14
1.4185627698898315,1.4185627698898315,1.4185627698898315,1.4185627698898315,1.4185627698898315,107648.0,34561.27734375,34561.27734375,34561.27734375,34561.27734375,34561.27734375,0.0,2220.71728515625,2220.71728515625,2220.71728515625,2220.71728515625,2220.71728515625,0.0,2021-07-03 17:22:00+01:00,60fdbae9b9153bc55f2a9bf0,15
