,open_time,o,h,l,c,v,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2021-08-01 09:11:59.999,1627823460000,1.36440000,1.36440000,1.36340000,1.36380000,1941.26000000,1627823519999,2647.53406200,15,1227.56000000,1674.27282200,0
2021-08-01 09:12:59.999,1627823520000,1.36410000,1.36470000,1.36330000,1.36450000,31707.12000000,1627823579999,43259.28227700,48,24725.17000000,33734.79301900,0
2021-08-01 09:13:59.999,1627823580000,1.36430000,1.36430000,1.36240000,1.36240000,40056.87000000,1627823639999,54613.82378000,64,4291.14000000,5848.39060200,0
2021-08-01 09:14:59.999,1627823640000,1.36240000,1.36240000,1.35910000,1.35960000,48794.45000000,1627823699999,66366.51722400,209,2659.88000000,3616.89968600,0
2021-08-01 09:15:59.999,1627823700000,1.36000000,1.36010000,1.35680000,1.35800000,32810.19000000,1627823759999,44566.45078800,196,10711.63000000,14543.84731300,0
2021-08-01 09:16:59.999,1627823760000,1.35850000,1.36020000,1.35850000,1.36020000,6723.21000000,1627823819999,9140.70224400,29,4501.96000000,6121.65252200,0
2021-08-01 09:17:59.999,1627823820000,1.36020000,1.36180000,1.35970000,1.35980000,8047.64000000,1627823879999,10953.25800700,44,6733.63000000,9165.85822000,0
2021-08-01 09:18:59.999,1627823880000,1.35990000,1.36040000,1.35820000,1.35820000,25773.73000000,1627823939999,35051.08675400,37,992.84000000,1349.82041600,0
2021-08-01 09:19:59.999,1627823940000,1.35820000,1.35820000,1.35530000,1.35530000,28982.69000000,1627823999999,39315.52027900,139,1781.80000000,2417.48593300,0
2021-08-01 09:20:59.999,1627824000000,1.35540000,1.35780000,1.35510000,1.35530000,14146.84000000,1627824059999,19188.91956900,58,12288.73000000,16670.09541100,0
2021-08-01 09:21:59.999,1627824060000,1.35520000,1.35570000,1.35360000,1.35380000,22889.63000000,1627824119999,31010.48227600,126,3057.98000000,4144.26271300,0
2021-08-01 09:22:59.999,1627824120000,1.35390000,1.35510000,1.35370000,1.35370000,10643.76000000,1627824179999,14413.42555700,35,9255.89000000,12534.31777400,0
2021-08-01 09:23:59.999,1627824180000,1.35360000,1.35470000,1.35310000,1.35370000,19029.59000000,1627824239999,25763.74911400,89,7345.69000000,9946.56480500,0
2021-08-01 09:24:59.999,1627824240000,1.35370000,1.35630000,1.35340000,1.35430000,11279.31000000,1627824299999,15284.34541300,45,7342.03000000,9949.45613200,0
2021-08-01 09:25:59.999,1627824300000,1.35400000,1.35530000,1.35360000,1.35530000,5300.79000000,1627824359999,7178.33871400,23,1481.22000000,2005.98828100,0
2021-08-01 09:26:59.999,1627824360000,1.35520000,1.35690000,1.35520000,1.35540000,7911.13000000,1627824419999,10729.78314200,22,5906.81000000,8011.81663900,0
2021-08-01 09:27:59.999,1627824420000,1.35540000,1.35650000,1.35370000,1.35370000,7096.04000000,1627824479999,9617.44974600,39,1832.16000000,2484.95250800,0
2021-08-01 09:28:59.999,1627824480000,1.35330000,1.35550000,1.35330000,1.35510000,9789.56000000,1627824539999,13262.67233100,30,9087.83000000,12312.75381600,0
2021-08-01 09:29:59.999,1627824540000,1.35450000,1.35540000,1.35450000,1.35460000,14013.82000000,1627824599999,18988.14107100,48,6334.99000000,8584.11402000,0
2021-08-01 09:30:59.999,1627824600000,1.35420000,1.35790000,1.35420000,1.35660000,65314.79000000,1627824659999,88631.27168100,90,51534.63000000,69922.11896300,0
2021-08-01 09:31:59.999,1627824660000,1.35710000,1.35770000,1.35570000,1.35640000,32251.13000000,1627824719999,43754.60241100,47,1554.36000000,2109.53513000,0
2021-08-01 09:32:59.999,1627824720000,1.35680000,1.35770000,1.35680000,1.35730000,3187.91000000,1627824779999,4326.88682800,19,2359.52000000,3202.75659800,0
2021-08-01 09:33:59.999,1627824780000,1.35730000,1.35740000,1.35660000,1.35690000,10486.24000000,1627824839999,14228.41275100,28,2001.89000000,2716.55885100,0
2021-08-01 09:34:59.999,1627824840000,1.35670000,1.35670000,1.35350000,1.35480000,23498.14000000,1627824899999,31844.45462500,79,6968.15000000,9439.66066100,0
2021-08-01 09:35:59.999,1627824900000,1.35480000,1.35490000,1.35230000,1.35320000,31487.57000000,1627824959999,42613.42927300,120,6391.46000000,8651.81266400,0
2021-08-01 09:36:59.999,1627824960000,1.35320000,1.35490000,1.35320000,1.35400000,19448.29000000,1627825019999,26333.26077300,71,15019.44000000,20335.22884900,0
2021-08-01 09:37:59.999,1627825020000,1.35470000,1.35480000,1.35320000,1.35450000,6729.86000000,1627825079999,9110.70308300,26,1652.46000000,2237.31468400,0
2021-08-01 09:38:59.999,1627825080000,1.35450000,1.35450000,1.35290000,1.35290000,19791.46000000,1627825139999,26793.05903100,49,5247.09000000,7101.34781300,0
2021-08-01 09:39:59.999,1627825140000,1.35300000,1.35300000,1.35190000,1.35280000,20871.57000000,1627825199999,28232.20852000,90,16461.21000000,22267.83507200,0
2021-08-01 09:40:59.999,1627825200000,1.35280000,1.35330000,1.35280000,1.35300000,4637.55000000,1627825259999,6274.46125100,23,4173.89000000,5647.06309100,0
2021-08-01 09:41:59.999,1627825260000,1.35290000,1.35290000,1.35240000,1.35260000,3705.62000000,1627825319999,5012.70923300,18,1607.13000000,2174.12488300,0
2021-08-01 09:42:59.999,1627825320000,1.35260000,1.35260000,1.35120000,1.35240000,57278.02000000,1627825379999,77464.12185500,95,53651.93000000,72561.82488300,0
2021-08-01 09:43:59.999,1627825380000,1.35240000,1.35370000,1.35220000,1.35330000,10906.82000000,1627825439999,14756.12136500,51,6326.04000000,8558.51296600,0
2021-08-01 09:44:59.999,1627825440000,1.35280000,1.35280000,1.35160000,1.35170000,20569.14000000,1627825499999,27812.17482400,51,1080.85000000,1461.18616500,0
2021-08-01 09:45:59.999,1627825500000,1.35160000,1.35540000,1.35140000,1.35460000,17907.52000000,1627825559999,24240.06822000,73,15432.63000000,20889.67319800,0
2021-08-01 09:46:59.999,1627825560000,1.35400000,1.35620000,1.35280000,1.35600000,26121.99000000,1627825619999,35381.14273200,53,3569.39000000,4836.45313000,0
2021-08-01 09:47:59.999,1627825620000,1.35610000,1.35630000,1.35440000,1.35470000,7218.92000000,1627825679999,9785.73106200,48,2802.42000000,3799.85447300,0
2021-08-01 09:48:59.999,1627825680000,1.35540000,1.35580000,1.35400000,1.35420000,6119.77000000,1627825739999,8289.65490700,23,3264.48000000,4421.31552300,0
2021-08-01 09:49:59.999,1627825740000,1.35440000,1.35450000,1.35290000,1.35330000,4401.04000000,1627825799999,5956.60627200,26,2269.43000000,3071.73524800,0
2021-08-01 09:50:59.999,1627825800000,1.35340000,1.35430000,1.35320000,1.35380000,8507.95000000,1627825859999,11516.77912800,16,2181.78000000,2953.32237200,0
2021-08-01 09:51:59.999,1627825860000,1.35380000,1.35560000,1.34980000,1.35490000,165285.19000000,1627825919999,223424.47526900,232,6241.03000000,8446.07354700,0
2021-08-01 09:52:59.999,1627825920000,1.35500000,1.35500000,1.35420000,1.35420000,5045.44000000,1627825979999,6834.08280200,22,4125.93000000,5588.48868300,0
2021-08-01 09:53:59.999,1627825980000,1.35430000,1.35530000,1.35430000,1.35520000,5214.36000000,1627826039999,7064.80250900,29,2856.73000000,3870.44308600,0
2021-08-01 09:54:59.999,1627826040000,1.35510000,1.35510000,1.35470000,1.35490000,24382.51000000,1627826099999,33037.91198700,26,1801.80000000,2441.28782200,0
2021-08-01 09:55:59.999,1627826100000,1.35510000,1.35560000,1.35480000,1.35500000,37518.15000000,1627826159999,50849.66632700,61,15208.84000000,20612.74582200,0
2021-08-01 09:56:59.999,1627826160000,1.35520000,1.35540000,1.35470000,1.35480000,759.43000000,1627826219999,1029.13047700,6,570.98000000,773.83726200,0
2021-08-01 09:57:59.999,1627826220000,1.35470000,1.35470000,1.35280000,1.35290000,13827.99000000,1627826279999,18718.81580200,45,4018.09000000,5440.97438200,0
2021-08-01 09:58:59.999,1627826280000,1.35280000,1.35360000,1.35250000,1.35350000,13933.49000000,1627826339999,18855.50418100,34,6630.58000000,8971.87886700,0
2021-08-01 09:59:59.999,1627826340000,1.35360000,1.35380000,1.35290000,1.35290000,2583.89000000,1627826399999,3496.64071700,18,519.90000000,703.75621800,0
2021-08-01 10:00:59.999,1627826400000,1.35280000,1.35280000,1.34900000,1.34900000,49295.97000000,1627826459999,66550.14982500,166,14437.24000000,19487.99303400,0
2021-08-01 10:01:59.999,1627826460000,1.34960000,1.35050000,1.34850000,1.34970000,25489.54000000,1627826519999,34393.26844300,96,19011.05000000,25654.95630000,0
2021-08-01 10:02:59.999,1627826520000,1.34990000,1.35480000,1.34990000,1.35480000,29234.37000000,1627826579999,39508.32571300,98,23607.30000000,31904.88836100,0
2021-08-01 10:03:59.999,1627826580000,1.35430000,1.35680000,1.35370000,1.35650000,7759.55000000,1627826639999,10514.99593300,86,4012.30000000,5439.08463400,0
2021-08-01 10:04:59.999,1627826640000,1.35650000,1.35680000,1.35580000,1.35620000,49956.55000000,1627826699999,67736.87006300,57,6061.90000000,8222.33557700,0
2021-08-01 10:05:59.999,1627826700000,1.35670000,1.35940000,1.35590000,1.35720000,104547.77000000,1627826759999,141928.02050700,234,69951.76000000,94987.96519900,0
2021-08-01 10:06:59.999,1627826760000,1.35670000,1.35780000,1.35670000,1.35720000,5237.09000000,1627826819999,7107.17080400,28,2620.07000000,3555.47188700,0
2021-08-01 10:07:59.999,1627826820000,1.35740000,1.35820000,1.35740000,1.35820000,3173.38000000,1627826879999,4308.61921300,16,2249.54000000,3054.11460100,0
2021-08-01 10:08:59.999,1627826880000,1.35830000,1.35860000,1.35820000,1.35850000,4842.94000000,1627826939999,6578.48675200,16,640.12000000,869.63302000,0
2021-08-01 10:09:59.999,1627826940000,1.35840000,1.35870000,1.35700000,1.35700000,3198.90000000,1627826999999,4343.06399400,32,613.27000000,833.14867200,0
2021-08-01 10:10:59.999,1627827000000,1.35690000,1.35720000,1.35510000,1.35530000,26968.19000000,1627827059999,36568.80115100,37,2776.54000000,3767.48658600,0
2021-08-01 10:11:59.999,1627827060000,1.35540000,1.35620000,1.35490000,1.35530000,4213.10000000,1627827119999,5711.44300000,19,4070.65000000,5518.39549500,0
2021-08-01 10:12:59.999,1627827120000,1.35570000,1.35640000,1.35470000,1.35640000,10784.85000000,1627827179999,14614.29253100,31,8387.26000000,11365.32061700,0
2021-08-01 10:13:59.999,1627827180000,1.35630000,1.35680000,1.35570000,1.35600000,14499.44000000,1627827239999,19664.14054700,26,5288.81000000,7174.87313400,0
2021-08-01 10:14:59.999,1627827240000,1.35610000,1.35630000,1.35560000,1.35560000,1925.44000000,1627827299999,2611.21613400,7,113.67000000,154.12951500,0
2021-08-01 10:15:59.999,1627827300000,1.35580000,1.35760000,1.35570000,1.35640000,48917.32000000,1627827359999,66379.63576100,44,48306.76000000,65551.89956900,0
2021-08-01 10:16:59.999,1627827360000,1.35610000,1.35760000,1.35590000,1.35730000,5031.95000000,1627827419999,6827.79644300,35,3733.98000000,5067.01140500,0
2021-08-01 10:17:59.999,1627827420000,1.35720000,1.35760000,1.35700000,1.35720000,5323.68000000,1627827479999,7225.57910200,19,4428.28000000,6010.18956700,0
2021-08-01 10:18:59.999,1627827480000,1.35700000,1.35720000,1.35690000,1.35720000,2977.65000000,1627827539999,4041.01914000,17,2631.10000000,3570.74104300,0
2021-08-01 10:19:59.999,1627827540000,1.35760000,1.35800000,1.35760000,1.35770000,8499.95000000,1627827599999,11540.66585800,28,1821.16000000,2473.01752400,0
2021-08-01 10:20:59.999,1627827600000,1.35760000,1.35760000,1.35550000,1.35560000,6316.09000000,1627827659999,8568.05663500,41,1831.05000000,2484.86470100,0
2021-08-01 10:21:59.999,1627827660000,1.35560000,1.35700000,1.35560000,1.35620000,4526.12000000,1627827719999,6139.96263900,20,3394.05000000,4604.95880500,0
2021-08-01 10:22:59.999,1627827720000,1.35600000,1.35600000,1.35420000,1.35460000,4658.94000000,1627827779999,6310.60817700,19,951.27000000,1288.88244200,0
2021-08-01 10:23:59.999,1627827780000,1.35480000,1.35810000,1.35480000,1.35680000,20880.52000000,1627827839999,28328.25533000,47,14059.84000000,19072.49531900,0
