,open_time,o,h,l,c,v,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2021-08-01 09:41:59.999,1627825260000,2582.08000000,2582.43000000,2581.67000000,2581.67000000,23.32705000,1627825319999,60227.62385570,87,6.29669000,16257.28918680,0
2021-08-01 09:42:59.999,1627825320000,2581.66000000,2584.02000000,2581.00000000,2584.02000000,147.70791000,1627825379999,381353.55973360,305,90.32271000,233201.81795430,0
2021-08-01 09:43:59.999,1627825380000,2584.12000000,2586.13000000,2583.89000000,2585.85000000,129.75364000,1627825439999,335443.66035260,261,82.38248000,212977.94854090,0
2021-08-01 09:44:59.999,1627825440000,2585.94000000,2585.94000000,2581.27000000,2581.34000000,42.71029000,1627825499999,110318.74979300,207,6.69597000,17291.83318100,0
2021-08-01 09:45:59.999,1627825500000,2581.34000000,2585.09000000,2581.00000000,2584.62000000,60.26109000,1627825559999,155668.37489870,200,41.56033000,107351.44516770,0
2021-08-01 09:46:59.999,1627825560000,2584.62000000,2587.46000000,2584.12000000,2587.33000000,97.19741000,1627825619999,251355.10883140,288,56.07580000,145015.44072430,0
2021-08-01 09:47:59.999,1627825620000,2587.13000000,2587.30000000,2584.26000000,2584.93000000,60.69613000,1627825679999,156958.68039290,198,26.60904000,68812.73163690,0
2021-08-01 09:48:59.999,1627825680000,2584.93000000,2585.16000000,2582.92000000,2582.92000000,47.24956000,1627825739999,122091.06703400,140,15.20927000,39306.21406750,0
2021-08-01 09:49:59.999,1627825740000,2582.89000000,2582.89000000,2581.51000000,2582.13000000,122.21883000,1627825799999,315583.64583140,200,41.52768000,107224.32036730,0
2021-08-01 09:50:59.999,1627825800000,2582.13000000,2582.17000000,2581.39000000,2581.51000000,25.69376000,1627825859999,66341.91904230,89,3.93538000,10160.96627700,0
2021-08-01 09:51:59.999,1627825860000,2581.51000000,2585.40000000,2581.51000000,2584.91000000,69.73530000,1627825919999,180181.96328450,212,54.02230000,139572.60589670,0
2021-08-01 09:52:59.999,1627825920000,2584.92000000,2584.92000000,2583.55000000,2583.84000000,56.22937000,1627825979999,145300.15425330,144,27.07842000,69966.22359810,0
2021-08-01 09:53:59.999,1627825980000,2583.93000000,2584.84000000,2583.67000000,2583.67000000,23.07968000,1627826039999,59644.33444840,120,10.23837000,26458.71357250,0
2021-08-01 09:54:59.999,1627826040000,2583.68000000,2584.75000000,2583.38000000,2583.39000000,20.59046000,1627826099999,53204.13394550,91,14.88281000,38455.23598020,0
2021-08-01 09:55:59.999,1627826100000,2583.39000000,2586.00000000,2582.16000000,2582.57000000,108.21474000,1627826159999,279644.64682920,265,55.90182000,144472.68760580,0
2021-08-01 09:56:59.999,1627826160000,2582.74000000,2582.74000000,2580.86000000,2581.32000000,124.54505000,1627826219999,321504.32782820,216,29.26079000,75528.31510000,0
2021-08-01 09:57:59.999,1627826220000,2581.33000000,2582.21000000,2579.01000000,2579.70000000,197.93176000,1627826279999,510691.06519650,334,52.28748000,134919.60913440,0
2021-08-01 09:58:59.999,1627826280000,2579.70000000,2582.60000000,2579.34000000,2582.43000000,92.02109000,1627826339999,237464.04684060,271,75.95485000,196001.27598920,0
2021-08-01 09:59:59.999,1627826340000,2582.33000000,2582.48000000,2579.45000000,2579.99000000,29.13486000,1627826399999,75204.38491400,139,8.95950000,23128.79607560,0
2021-08-01 10:00:59.999,1627826400000,2579.99000000,2580.00000000,2574.04000000,2574.83000000,354.74300000,1627826459999,913924.68318300,934,108.74619000,280148.58214560,0
