,open_time,o,h,l,c,v,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2021-07-25 14:38:59.999,1627249080000,1.21210000,1.21210000,1.21140000,1.21150000,740.43000000,1627249139999,897.19050500,8,327.03000000,396.35306300,0
2021-07-25 14:39:59.999,1627249140000,1.21160000,1.21230000,1.21140000,1.21230000,700.92000000,1627249199999,849.59707900,8,691.05000000,837.63889300,0
2021-07-25 14:40:59.999,1627249200000,1.21240000,1.21260000,1.21200000,1.21230000,3373.44000000,1627249259999,4089.47758000,22,2367.44000000,2870.04778000,0
2021-07-25 14:41:59.999,1627249260000,1.21280000,1.21400000,1.21280000,1.21370000,11260.32000000,1627249319999,13665.44226700,18,11260.32000000,13665.44226700,0
2021-07-25 14:42:59.999,1627249320000,1.21370000,1.21370000,1.21350000,1.21370000,2580.93000000,1627249379999,3132.35682300,12,2558.00000000,3104.52668200,0
2021-07-25 14:43:59.999,1627249380000,1.21370000,1.21370000,1.21280000,1.21350000,2005.51000000,1627249439999,2432.78829700,14,343.06000000,416.29110600,0
2021-07-25 14:44:59.999,1627249440000,1.21380000,1.21390000,1.21330000,1.21390000,4497.46000000,1627249499999,5459.42731000,7,4488.30000000,5448.31348200,0
2021-07-25 14:45:59.999,1627249500000,1.21400000,1.21400000,1.21270000,1.21290000,2094.04000000,1627249559999,2540.29427800,16,1162.80000000,1410.85120700,0
2021-07-25 14:46:59.999,1627249560000,1.21340000,1.21360000,1.21300000,1.21300000,910.50000000,1627249619999,1104.78531400,7,794.69000000,964.30778400,0
2021-07-25 14:47:59.999,1627249620000,1.21340000,1.21370000,1.21300000,1.21300000,2128.42000000,1627249679999,2582.16251800,13,174.33000000,211.58432100,0
2021-07-25 14:48:59.999,1627249680000,1.21260000,1.21290000,1.21200000,1.21250000,5035.88000000,1627249739999,6106.62461300,16,3966.42000000,4810.16342600,0
2021-07-25 14:49:59.999,1627249740000,1.21230000,1.21270000,1.21220000,1.21230000,1771.46000000,1627249799999,2147.37854600,9,1573.71000000,1907.66262100,0
2021-07-25 14:50:59.999,1627249800000,1.21290000,1.21290000,1.21230000,1.21280000,2737.72000000,1627249859999,3319.04380400,8,184.41000000,223.66609100,0
